rsp_id,rsp_id2,country,mig_ext_motivo,migrated_yn_5,CARI,income_per_capita_tier,mig_ext_intention,mig_ext_plan_12months,mig_ext_preparacion,motiv_cat
2230,rsp2230,HND,1,1,1,4,0,,,econ-1
2232,rsp2232-1,HND,12,1,1,1,0,,,reun-1
2232,rsp2232-2,HND,12,1,1,1,0,,,reun-1
2235,rsp2235,HND,2 7 8,1,1,5,0,,,econ-1
2242,rsp2242,HND,1 7 8,1,1,2,1,0,,econ-1
2243,rsp2243-1,HND,16,1,1,3,1,0,,oth-1
2243,rsp2243-2,HND,16,1,1,3,1,0,,oth-1
2243,rsp2243-3,HND,1,1,1,3,1,0,,econ-1
2244,rsp2244,HND,1 6 8,1,3,2,0,,,econ-1
2245,rsp2245-1,HND,1 2 6,1,3,2,1,0,,econ-1
2245,rsp2245-2,HND,2 1 3,1,3,2,1,0,,econ-clim-2
2246,rsp2246,HND,2 1 6,1,2,3,0,,,econ-1
2248,rsp2248,HND,1 6 8,1,2,3,0,,,econ-1
2249,rsp2249-1,HND,1 2 7,1,2,2,0,,,econ-1
2249,rsp2249-2,HND,1 2 7,1,2,2,0,,,econ-1
2250,rsp2250,HND,1 6 7,1,2,3,1,0,,econ-1
2252,rsp2252-1,HND,1 4 7,1,2,2,0,,,econ-clim-2
2252,rsp2252-2,HND,16 4 9,1,2,2,0,,,econ-oth-2
2253,rsp2253-1,HND,1 2 7,1,2,2,0,,,econ-1
2253,rsp2253-2,HND,1 7 16,1,2,2,0,,,econ-oth-2
2254,rsp2254,HND,1 2 7,1,1,2,1,0,,econ-1
2255,rsp2255-1,HND,16,1,2,2,0,,,oth-1
2255,rsp2255-2,HND,1 2 7,1,2,2,0,,,econ-1
2256,rsp2256,HND,1 2 7,1,2,4,1,0,,econ-1
2257,rsp2257,HND,1 6 7,1,2,2,0,,,econ-1
2258,rsp2258-1,HND,1 2 7,1,2,2,0,,,econ-1
2258,rsp2258-2,HND,1 2 7,1,2,2,0,,,econ-1
2258,rsp2258-3,HND,1 2 7,1,2,2,0,,,econ-1
2259,rsp2259,HND,1 2 7,1,2,3,0,,,econ-1
2260,rsp2260-1,HND,9,1,2,2,0,,,oth-1
2260,rsp2260-2,HND,9,1,2,2,0,,,oth-1
2260,rsp2260-3,HND,9,1,2,2,0,,,oth-1
2260,rsp2260-4,HND,1 2 7,1,2,2,0,,,econ-1
2260,rsp2260-5,HND,1 2 7,1,2,2,0,,,econ-1
2260,rsp2260-6,HND,1 2 7,1,2,2,0,,,econ-1
2260,rsp2260-7,HND,1 2 7,1,2,2,0,,,econ-1
2261,rsp2261-1,HND,1,1,1,5,1,1,1,econ-1
2261,rsp2261-2,HND,1,1,1,5,1,1,1,econ-1
2264,rsp2264,HND,1 2 8,1,2,3,1,0,,econ-1
2268,rsp2268,HND,1,1,3,1,0,,,econ-1
2277,rsp2277,GT,1 7 8,1,2,4,0,,,econ-1
2280,rsp2280,GT,8 1,1,3,4,0,,,econ-1
2284,rsp2284,HND,1 2 8,1,2,2,0,,,econ-1
2291,rsp2291,HND,9 1,1,2,2,1,0,,econ-oth-2
2292,rsp2292,HND,1,1,1,3,0,,,econ-1
2293,rsp2293-1,HND,1,1,2,2,1,1,1,econ-1
2293,rsp2293-2,HND,2 8,1,2,2,1,1,1,econ-1
2303,rsp2303-1,HND,1 7 8,1,2,1,1,0,,econ-1
2303,rsp2303-2,HND,1 3 8,1,2,1,1,0,,econ-clim-2
2313,rsp2313,GT,1 6 7,1,1,4,0,,,econ-1
2330,rsp2330,GT,1 3 4,1,2,1,0,,,econ-clim-2
2336,rsp2336,HND,9,1,1,2,0,,,oth-1
2378,rsp2378-1,HND,1 2 6,1,1,1,1,1,1,econ-1
2378,rsp2378-2,HND,2 1 6,1,1,1,1,1,1,econ-1
2382,rsp2382-1,HND,1 2 7,1,1,4,0,,,econ-1
2382,rsp2382-2,HND,1 2 6,1,1,4,0,,,econ-1
2382,rsp2382-3,HND,1 2 3,1,1,4,0,,,econ-clim-2
2387,rsp2387,HND,1 2 9,1,1,4,0,,,econ-oth-2
2391,rsp2391-1,GT,1 2 8,1,1,4,0,,,econ-1
2391,rsp2391-2,GT,1 2 7,1,1,4,0,,,econ-1
2391,rsp2391-3,GT,1 2,1,1,4,0,,,econ-1
2395,rsp2395,GT,1 2,1,1,3,1,0,,econ-1
2396,rsp2396-1,GT,1 2,1,1,4,1,0,,econ-1
2396,rsp2396-2,GT,1 2,1,1,4,1,0,,econ-1
2399,rsp2399-1,HND,1 8 9,1,1,5,0,,,econ-oth-2
2399,rsp2399-2,HND,1 8 15,1,1,5,0,,,econ-oth-2
2400,rsp2400,GT,1 2 6,1,1,4,0,,,econ-1
2403,rsp2403,GT,1,1,1,4,1,0,,econ-1
2406,rsp2406,HND,1 7 16,1,1,1,0,,,econ-oth-2
2412,rsp2412,GT,1 2 7,1,2,1,0,,,econ-1
2417,rsp2417-1,HND,8,1,1,2,1,1,1,econ-1
2417,rsp2417-2,HND,1 2,1,1,2,1,1,1,econ-1
2420,rsp2420,HND,1 6,1,2,2,1,0,,econ-1
2425,rsp2425,GT,2,1,2,2,99,,,econ-1
2430,rsp2430,GT,1 6 8,1,1,4,0,,,econ-1
2439,rsp2439,HND,2 1 12,1,2,5,1,0,,econ-reun-2
2440,rsp2440,HND,1 7 8,1,1,1,1,0,,econ-1
2451,rsp2451,GT,1,1,3,3,1,0,,econ-1
2454,rsp2454,GT,7 1,1,2,4,1,0,,econ-1
2472,rsp2472,GT,2 1 6,1,2,4,1,0,,econ-1
2474,rsp2474,GT,1 7,1,1,5,0,,,econ-1
2475,rsp2475-1,GT,12,1,1,4,1,0,,reun-1
2475,rsp2475-2,GT,1,1,1,4,1,0,,econ-1
2475,rsp2475-3,GT,1 7,1,1,4,1,0,,econ-1
2476,rsp2476-1,GT,1 2,1,1,4,1,0,,econ-1
2476,rsp2476-2,GT,1 2,1,1,4,1,0,,econ-1
2478,rsp2478-1,GT,10 1,1,1,4,1,0,,econ-sec-2
2478,rsp2478-2,GT,16 7,1,1,4,1,0,,econ-oth-2
2479,rsp2479-1,GT,7,1,2,4,1,0,,econ-1
2479,rsp2479-2,GT,7,1,2,4,1,0,,econ-1
2479,rsp2479-3,GT,7 2,1,2,4,1,0,,econ-1
2488,rsp2488-1,HND,1 6 7,1,1,1,0,,,econ-1
2488,rsp2488-2,HND,16,1,1,1,0,,,oth-1
2488,rsp2488-3,HND,1,1,1,1,0,,,econ-1
2491,rsp2491,HND,1 7 8,1,1,2,0,,,econ-1
2493,rsp2493,GT,1 2,1,3,1,1,1,0,econ-1
2494,rsp2494,GT,1 2,1,1,1,0,,,econ-1
2500,rsp2500,GT,1 2,1,2,1,0,,,econ-1
2502,rsp2502,HND,1 2 8,1,2,4,1,0,,econ-1
2506,rsp2506,HND,1 6 11,1,2,1,1,0,,econ-sec-2
2507,rsp2507,HND,2,1,2,2,1,0,,econ-1
2511,rsp2511,HND,2,1,2,3,0,,,econ-1
2512,rsp2512,HND,8,1,1,2,1,0,,econ-1
2513,rsp2513,HND,16,1,1,1,1,0,,oth-1
2515,rsp2515-1,HND,2,1,1,2,0,,,econ-1
2515,rsp2515-2,HND,2,1,1,2,0,,,econ-1
2516,rsp2516,HND,2,1,1,2,0,,,econ-1
2518,rsp2518,HND,8,1,1,2,1,0,,econ-1
2519,rsp2519,HND,2,1,1,2,1,0,,econ-1
2524,rsp2524,SLV,6 7,1,2,4,0,,,econ-1
